Course Code,Course Name,L-T-P,Credits,Discipline,Program,Course category,Slot Lecture\Venue,Tutorial Slot\Venue,Lab slot\Venue,Instructor
EEP502,Sensors and Instrumentation Lab,0-0-3,1.5,EE - CI,MTech,PC,Q,,,Dr. Snehanjan Acharyya
EEL601,Advanced Control Theory,3-0-0,3,EE - CI & MT,MTech,PC,I,,,Dr. Sandeep Kumar Soni
EVL501,Introduction to EV and HEV,3-0-0,3,EE - EVT,MTech,TC,G,,,Dr. Lalit Kumar Sahu
EVL503,Motor Drives,3-0-0,3,EE - EVT,MTech,TC,H,,,"Dr. Shashank Kurm, Dr. Shailendra"
EEL521,Renewable and Distributed Energy Systems,3-0-0,3,EE - PSPE,MTech,PC,J,,,"Dr. Krishna Murari, Dr. Shashank Kurm"
EEL621,Advanced Power Electronics,3-0-0,3,EE - PSPE,MTech,PC,B,,,Dr. Shashank Kurm
EEL201,Circuit and System,3-1-0,4,EE & MT,BTech,PC,F,,,"X Dr. Nitin Khanna, Dr. Sandeep Kumar Soni"
EEL302,Digital Control,3-1-0,4,EE & MT,BTech,PC,A,,,X Dr. Avishek Adhikari
EET895,PhD Candidacy,X-X-X,0,EVT,PhD,TC,DPGC_EE,,,
LA799,PhD Thesis,X-X-X,6 to 30,LA,PhD,TC,DPGC_LA,,,
LAL010,English-I,2-1-0,3,LA,BTech,,Prep,,,I12 I3 Dr. Sruthi Vinayan
LAL100,Introduction to Communication Skills,1-1-0,2,LA,BTech,LA/PC,G2,,,"G3 Dr. Sruthi Vinayan, Dr. Ritika Verma, Dr. Anubhav"
LAL201,Microeconomics,1-0-0,1,LA,BTech,LA,H3,,,Dr. Rekha Ravindran
LAL301,Econometrics I,3-0-0,3,LA,BTech,LA,G,,,Dr. Rekha Ravindran Pre-reuisite: LAL200 & LAL201
LAL320,INTRODUCTION TO PSYCHOLOGY - I,2-1-0,3,LA,BTech,LA,G12,,,G3 Dr. Anindita Ghosh
LAL621,Applied Econometrics,3-0-0,3,LA,PhD,PE,B,,,Dr. Rekha Ravindran
LAL622,Advanced Macroeconomics,3-0-0,3,LA,PhD,LA,C,,,Dr. Rekha Ravindran
LAL721,Development Economics-Theory and Policies,3-0-0,3,LA,PhD,PE,L,,,Dr. Rekha Ravindran
LAL722,Current Economic Issues,3-0-0,3,LA,PhD,PE,A,,,Dr. Rekha Ravindran
LAL731,ADVANCED POSITIVE PSYCHOLOGY,3-0-0,3,LA,PhD,PE,I,,,Dr. Anindita Ghosh
LAL732,POSITIVE ORGANIZATIONAL BEHAVIOUR,3-0-0,3,LA,PhD,PE,M,,,Dr. Anindita Ghosh
LAL734,Allied Health Studies,3-0-0,3,LA,PhD,LA,J,,,Dr. Eslavath Rajkumar
LAL735,Culture and The Study of Human Strengths,3-0-0,3,LA,PhD,LA,K,,,Dr. Eslavath Rajkumar
LAN102,Speaking and Writing Skills,1-0-0,0,LA,BTech,LA/PC,H1,,,Dr. Ritika Verma
LAT795,PhD Candidacy,X-X-X,0,LA,PhD,TC,DPGC_LA,,,
LAT899,PhD Thesis,X-X-X,3 to 12,LA,PhD,TC,DPGC_LA,,,
MA799,Thesis (PhD) Old,X-X-X,6 to 30,MA,PhD,TC,DPGC_MA,,,
MAL010,Mathematics-I,3-1-0,4,MA,BTech,,Prep,,,Prep A E1 Dr. Anurag Singh
MAL100,Mathematics-I,3-1-0,4,MA,BTech,IC,B,,,E1 Dr. Swati Yadav
MAL401,Linear Algebra,3-0-0,3,MA,MSC,PC,B,,,Dr. Avijit Pal
MAL402,Real Analysis,3-0.5-0,3.5,MA,MSC,PC,F,,,X Dr. Asrifa Sultana
MAL404,Modern Algebra,3-0-0,3,MA,MSC,PC,E,,,Dr. Raj Kumar Mistri
MAL511,Additive Nunber Theory,3-0-0,3,,,PE,I,,,Dr. Raj Kumar Mistri
MAL512,Partial Differential Equations,3-0-0,3,,,PE,F,,,Dr. Pawan Kumar Mishra
MAL521,Measure Theory,3-0-0,3,,,PE,J,,,Dr. Bharat Talwar
MAL600,Introduction to Spectral Theory,3-0-0,3,,,PE,K,,,Dr. Arnab Patra
MAL601,Operator Theory I,3-0-0,3,,,PE,M,,,Dr. Avijit Pal
MAL603,Martingale Theory,3-0-0,3,,,PE,G,,,Dr. Kuldeep Kumar kataria
MAT895,PhD Candidacy,X-X-X,0,MA,PhD,TC,DPGC_MA,,,
MAT899,Thesis (PhD) New,X-X-X,12 to 15,MA,PhD,TC,DPGC_MA,,,
ME499,Thesis (BTech),X-X-X,6 to 12,ME,BTech,TC,DUGC_ME,,,
ME799,Thesis (PhD) Old,X-X-X,6 to 30,ME,PhD,TC,DPGC_ME,,,
MEL211,Thermodynamics,2-1-0,3,ME,BTech,PC,A12,,,A3 Dr. Sampad Laha
MEL313,Heat and Mass Transfer,3-0.5-0,3.5,ME,BTech,PC,C,,,X Dr. Udayraj
MEL351,Machining and Machine Tools,3-0-0,3,ME,BTech,PC,B,,,Dr. Purnendu Das
MEL414,Internal Combustion Engine,3-0-0,3,,,PE,M,,,Dr. Pravesh C Shukla
MEL554,Non-Conventional Machining,3-0-0,3,,,PE,I,,,Dr. Purnendu Das
MEL5XX,Design of Experiments,3-0-0,3,,,PE,B,,,Dr. Rahul Jain
MEL617,Microfluidics,3-0-0,3,,,PE,C,,,Dr. Vijay S Duryodhan ME (TF) PE
MEL624,Energy Conservation and Management,3-0-0,3,,,PE,L,,,"Dr. Vijay Shantaram Duryodhan, Dr. Udayraj"
MEL636,Structural Dynamics,3-0-0,3,,,PE,M,,,Dr. Ganesh Kolappan Geeth PE for MT
MEL655,Automation,3-0-0,3,,,PE,L,,,Prof. Soumya Gangopadhyay DUGC/DPGC_ME Please specify the DM and TF courses under
MEL652,Advances in Forming and Welding,3-0-0,3,,,PE,L,,,Dr. Kaushik Bandyopadhyay
MEL659,Advanced Materials and Processing,3-0-0,3,,,PE,K,,,Dr. Jose Immanuel R
MEP371,Thermal and Fluid Engineering Lab,0-0-3,1.5,ME,BTech,PC,O,,,Dr. Udayraj
MEP381,Manufacturing and Metrology Lab,0-0-3,1.5,ME,BTech,PC,W,,,Dr. Rahul Jain
MET799,Thesis (MTech),X-X-X,9 to 12,ME,MTech,TC,DPGC_ME,,,
MET895,PhD Candidacy,X-X-X,0,ME,PhD,TC,DPGC_ME,,,
MET899,Thesis (PhD) New,X-X-X,9 to 12,ME,PhD,TC,DPGC_ME,,,
MEL631,Continuum Mechanics,3-0-0,3,ME - DM,MTech,PC,A,,,Dr. Anshul Faye
MEL501,Advanced Engineering Mathematics,3-0-0,3,ME - DM & TF,MTech,PC,C,,,"Dr. Balkrishna Mehta, Dr. Ganesh Kolappan Geetha"
MEL611,Advanced Fluid Mechanics,3-0-0,3,ME - TF,MTech,PC,E,,,Dr. Balkrishna Mehta
MEL612,Conduction and Radiation Heat Transfer,3-0-0,3,ME - TF,MTech,PC,B,,,Dr. Pravesh C Shukla
MEL231,Engineering Mechanics,2-1-0,3,ME & MT,BTech,PC,D12,,,D3 Dr. Yogesh Pratap Singh
MEL333,Design of Machine Elements,3-0.5-0,3.5,ME & MT,BTech,PC,E,,,D3 Dr. Anshul Faye
MEL251,"Casting, Forming and Welding",3-0-0,3,ME/MSME,BTech,PC,B,,,Dr. Kaushik Bandyopadhyay
MML501,Characterization and Testing of Materials,3-0-0,3,MSME,MTech,PC,G,,,Dr. Yagnesh Shadangi and Dr. Nithin B. PE for ECE
MML502,Thermodynamics and Phase Equilibria,3-0-0,3,MSME,MTech,PC,H,,,Dr. Ashutosh Kumar and Dr. Shobhit Pratap Singh
MML201,Thermodynamics of Materials,3-0-0,3,MSME,BTech,PC,A,,,Dr. Ashutosh Kumar
MML202,Structure of Materials,3-0-0,3,MSME,BTech,PC,D,,,Dr. Arvind Singh
MML204/ME151,Properties and Phase transformation of Materials,3-0-0,3,MSME,BTech,PC,F,,,Dr. Nithin B
MML205,Principle of Extractive Metallurgy,3-0-0,3,MSME,BTech,PC,C,,,Dr. Shobhit Pratap Singh
MML301,Materials Characterization-Spectroscopy and other analytical tool,3-0-0,3,MSME,BTech,PC,D,,,Dr. Milan Kumar Jena
MML302,Iron and Steel Making,3-0-0,3,MSME,BTech,PC,C,,,Dr. Anirban Dasgupta
